"フィーチャID","形状(WKT)","行政区域コード （P29_001）","学校コード （P29_002）","学校分類 （P29_003）","名称 （P29_004）","所在地 （P29_005）","管理者コード （P29_006）","休校区分 （P29_007）","期間開始日時","期間終了日時","作成者","作成日時","更新者","更新日時"
"1","POINT(136.951288 35.163357)","23100","A123310000003","16011","椙山女学園大学附属幼稚園","名古屋市千種区山添町2-2","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"2","POINT(136.937482 35.166541)","23100","A123310000012","16011","愛英幼稚園","名古屋市千種区今池5-24-7","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"3","POINT(136.971498 35.16905)","23100","A123310000021","16011","わかば幼稚園","名古屋市千種区猫洞通2-13","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"4","POINT(136.969145 35.159614)","23100","A123310000030","16011","青葉幼稚園","名古屋市千種区唐山町1-61","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"5","POINT(136.979203 35.18519)","23100","A123310000049","16011","第二自由ケ丘幼稚園","名古屋市千種区宮根台2-4-30","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"6","POINT(136.935813 35.166433)","23100","A123310000058","16011","名古屋ルーテル幼稚園","名古屋市千種区今池3-5-19","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"7","POINT(136.955641 35.180792)","23100","A123310000067","16011","天満幼稚園","名古屋市千種区天満通1-46","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"8","POINT(136.940848 35.170838)","23100","A123310000076","16011","若竹幼稚園","名古屋市千種区内山2-18-12","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"9","POINT(136.970998 35.182684)","23100","A123310000085","16011","自由ケ丘幼稚園","名古屋市千種区富士見台3-9-2","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"10","POINT(136.966318 35.158823)","23100","A123310000094","16011","聖マリア幼稚園","名古屋市千種区園山町1-59","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"11","POINT(136.96033 35.171777)","23100","A123310000101","16011","城山幼稚園","名古屋市千種区城山新町2-71","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"12","POINT(136.950552 35.178923)","23100","A123310000110","16011","上野幼稚園","名古屋市千種区上野3-2-20","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"13","POINT(136.960196 35.171308)","23100","A123310000129","16011","城山学院幼稚園","名古屋市千種区城山新町2-71","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"14","POINT(136.982294 35.182018)","23100","A123310000138","16011","第三自由ケ丘幼稚園","名古屋市千種区千代が丘1-24","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"15","POINT(136.912761 35.182551)","23100","A123310000147","16011","名古屋柳城短期大学附属柳城幼稚園","名古屋市東区白壁1-31","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"16","POINT(136.915964 35.172811)","23100","A123310000156","16011","東桜幼稚園","名古屋市東区東桜2-8-26","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"17","POINT(136.911619 35.181501)","23100","A123310000165","16011","名古屋文化幼稚園","名古屋市東区白壁1-54","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"18","POINT(136.930151 35.176929)","23100","A123310000174","16011","筒井幼稚園","名古屋市東区筒井町4-13","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"19","POINT(136.923174 35.177166)","23100","A123310000183","16011","明星幼稚園","名古屋市東区代官町22-17","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
