"フィーチャID","形状(WKT)","施設名称","所在地","診療科目","開設者分類","病床数","救急告示病院","災害拠点病院","期間開始日時","期間終了日時","作成者","作成日時","更新者","更新日時"
"7","POINT(137.1397723 35.1222827)","おざわ歯科クリニック","豊田市浄水町原山３０５‐１","歯科、矯正歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"9","POINT(137.2097943 35.1017774)","くらがいけ歯科","豊田市池田町小山田２４‐１","歯科、小児歯科、小児矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"10","POINT(137.1652328 35.1076836)","けやき歯科","豊田市京町５‐１‐１４","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"12","POINT(137.143923699999 35.0089936)","すぎやま歯科","豊田市畝部西町伍位２０４番地","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"15","POINT(137.180544899999 35.105551)","はだ歯科クリニック","豊田市越戸町梅盛８０‐３","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"17","POINT(137.486010999999 35.2112586)","ひかる歯科","豊田市黒田町尾知６２番３","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"18","POINT(137.2101634 35.1959358999999)","ふじおか小島歯科","豊田市藤岡飯野町弥治前６０７‐１５","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"20","POINT(137.173663818536 35.125064868276)","やまだ歯科","豊田市井上町１１‐８‐７","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"29","POINT(137.2862304 35.2312984)","可児歯科医院","豊田市小原町尾崎８５５‐６","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"30","POINT(137.1782776 35.0723772)","外山歯科","豊田市野見町１１丁目６４番","歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"34","POINT(137.164844 35.12067)","四郷デンタルクリニック","豊田市四郷町森前１１４‐１","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"53","POINT(137.1748539 35.1052842)","豊田杉山歯科医院","豊田市荒井町寿田８５‐１","歯科、矯正歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"55","POINT(137.135794 35.0515581)","竜神歯科","豊田市竜神町錦１７‐２","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"56","POINT(137.16803530569 35.0442968834487)","HAL歯科医院こども歯科","豊田市今町２丁目３７－１","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"60","POINT(137.125329291441 35.0869403890307)","あいづま歯科こども歯科","豊田市宮町７－１５９－１","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"61","POINT(137.198738144367 35.0983013914002)","あおぞら歯科医院","豊田市市木町４－１７－５","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"62","POINT(137.113435610475 35.0655008029769)","あかつき歯科医院","豊田市田中町５－３９－２","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"65","POINT(137.162144815977 35.0795817030615)","あだちデンタルクリニック","豊田市十塚町５丁目４９番地１","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"68","POINT(137.153560656119 35.1046973067137)","いぐち歯科クリニック","豊田市高原町４丁目３４番地１","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"69","POINT(137.096698996831 35.0179653934595)","いざわ歯科","豊田市吉原町宮里９－１","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"76","POINT(137.14667718049 35.0546979401742)","エンジェル歯科","豊田市山之手８－３５－１","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"78","POINT(137.145260489165 35.0525627912289)","オー,デンタルクリニック豊田""""","豊田市山之手８－９２","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"81","POINT(137.145551279191 35.0492978617882)","おおたに歯科・こども歯科","豊田市大林町１４－１３－１１","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"83","POINT(137.203860423872 35.0465345428855)","おぎの歯科医院","豊田市中垣内町四ツ瀬２０","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"89","POINT(137.176164668502 35.1226369245701)","かみや歯科クリニック","豊田市井上町５－８５－３","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"92","POINT(137.091134183941 35.0079452480025)","クラウン歯科","豊田市吉原町平子３４－３","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"95","POINT(137.097071086139 35.0294344882137)","こあら歯科","豊田市若林西町六反ケ坪３３","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"98","POINT(137.169247967206 35.1418326262291)","コスモス歯科","豊田市亀首町八ツ口洞７－４","歯科、矯正歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"100","POINT(137.159825183475 35.0785645118976)","ころも歯科医院","豊田市広路町１－１","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"101","POINT(137.155822273573 35.0874488768802)","こんどう矯正歯科","豊田市若宮町１－８－１","矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"102","POINT(137.148381495929 35.0580666034891)","さかきばら歯科","豊田市山之手３－１４","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"103","POINT(137.145702062439 35.1318838448039)","さくら歯科クリニック","豊田市貝津町箕輪３４－５","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"104","POINT(137.104863330347 35.0412178400095)","サトウ歯科医院","豊田市広田町谷口６９－３","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"110","POINT(137.139213209001 35.1203288404603)","じょうすい歯科クリニック","豊田市浄水町南平５２－２","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"114","POINT(137.15355876896 35.1087044055473)","すみや歯科クリニック","豊田市若草町３－２１－９","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"115","POINT(137.098254292868 35.0313007625004)","スワ歯科","豊田市若林西町宮下１","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"117","POINT(137.182715836624 35.0902788424474)","ぜんなみデンタルクリニック","豊田市高上１－２２－１０","歯科、矯正歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"118","POINT(137.141347483549 35.081018729622)","たかくも歯科医院","豊田市三軒町８－９７","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"119","POINT(137.112410298645 35.0351688114475)","たかす歯科","豊田市中町中前１番地１","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"121","POINT(137.188636679991 35.16022086673)","たなか歯科","豊田市西中山町猿田１４－６","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"125","POINT(137.126605743742 35.0613242580746)","つづき歯科","豊田市土橋町７－８－４","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"131","POINT(137.152783778838 35.0872867896319)","とよた歯科医院","豊田市小坂本町１－９－２","歯科、矯正歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"141","POINT(137.181425318611 35.1504879944372)","ながい歯科","豊田市西中山町太田５１－４","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"142","POINT(137.189492811441 35.0861748256744)","なかおか歯科こども歯科","豊田市渋谷町３－９８０－１８－１","歯科、矯正歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"143","POINT(137.141009274132 35.0470353439436)","ながた歯科医院","豊田市大林町１２－５－１１","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"149","POINT(137.102883560362 35.0227378467273)","はなまる歯科","豊田市若林東町上外根１４－８","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"151","POINT(137.191345758353 35.0748268930734)","ひえじま歯科クリニック","豊田市泉町１－２－２８","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"153","POINT(137.14564087042 35.0905921607567)","ひまわり歯科","豊田市小坂町２－５","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"155","POINT(137.153617026411 35.0828342584289)","ヒル川歯科医院","豊田市神田町１－１－１","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"156","POINT(137.178476012862 35.0760523512057)","ふじさわ歯科","豊田市美里６－８－１０","歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"159","POINT(137.135507700766 35.1369157192631)","ますだ歯科","豊田市東保見町大門６５－２","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"161","POINT(137.134537498926 35.0127701628733)","みこしば歯科医院","豊田市上郷町５－１４－１０","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"162","POINT(137.181878002569 35.0886640559498)","みずこし歯科","豊田市上野町４－６－６","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"163","POINT(137.161540945364 35.104866290266)","みずの歯科医院","豊田市東梅坪町１－４－１","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"165","POINT(137.192629064817 35.1789076855685)","みぞうえ歯科","豊田市深見町常楽９９８－５７","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"167","POINT(137.114694310875 35.0681099656657)","みどり歯科クリニック","豊田市田中町１－１１９－７","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"168","POINT(137.049437188857 35.0221049169795)","みなみ歯科","豊田市駒新町中通３６","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"169","POINT(137.316262910361 35.1361169253322)","みゆき歯科室","豊田市足助町新町４","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"174","POINT(137.150834292125 35.0665403318646)","田歯科クリニック","豊田市丸山町３－５３－１","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"178","POINT(137.150905626171 35.0542315934932)","芦苅歯科","豊田市御幸本町１－２３４","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"179","POINT(137.477753105492 35.2085508537341)","安藤歯科医院","豊田市黒田町仲田３５７－１","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"180","POINT(137.157569913552 35.0943974158712)","医療法人Well-Being だいせい歯科医院","豊田市平芝町２－６－７","歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"183","POINT(137.101548778427 35.0257992751229)","医療法人ひいらぎ歯科","豊田市若林東町字高根下７","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"184","POINT(137.195928632684 35.136957613586)","医療法人みふね小児歯科医院","豊田市御船町洞口２－２","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"188","POINT(137.155421819229 35.0061865880966)","医療法人岡田歯科医院","豊田市畝部東町中切１１４","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"197","POINT(137.163405293156 35.102718445384)","医療法人十種会丸子歯科","豊田市東梅坪町８－７－６","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"202","POINT(137.178598587066 35.0863812701683)","医療法人清雅会スタジアムデンタルクリニック","豊田市広川町７－９１－２","歯科、矯正歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"212","POINT(137.078255067716 35.0281637609958)","井戸田歯科医院","豊田市高岡本町南８５－２","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"215","POINT(137.140270398017 35.0395138666861)","永覚歯科クリニック","豊田市永覚新町１－４９－１","歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"216","POINT(137.129761283128 35.0933374755344)","永田歯科医院","豊田市天王町６－２５","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"218","POINT(137.162765343645 35.1031600646006)","岡田歯科クリニック","豊田市東梅坪町８－５－６","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"219","POINT(137.307733990064 35.0317582011163)","荻野歯科医院","豊田市大沼町新井前西９－７","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"221","POINT(137.133962103743 35.1455457872693)","加藤歯科　保見ケ丘クリニック","豊田市保見ケ丘１－１５０","歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"222","POINT(137.155983900606 35.0877371888037)","加藤歯科クリニック","豊田市若宮町１－２４－２","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"223","POINT(137.108321125283 35.0347406845296)","加藤歯科医院(竹元)","豊田市竹元町二ツ池６－７７","歯科、小児歯科、歯科口腔外科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"224","POINT(137.083975269166 35.0548136877744)","加藤歯科医院(堤)","豊田市堤町御茶屋８","歯科、矯正歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
"228","POINT(137.168823934522 35.0519717706041)","河合歯科医院","豊田市水源町１－２－８","歯科、小児歯科","分類対象外","0","指定なし","指定なし","","","システム管理者","2022/10/31 14:05:35","システム管理者",""
